SrNo,TollID,CategoryID,Single,Round,Category
1,1,1,50,75,Car/Jeep/Van
2,1,2,95,143,LCV
3,1,3,190,285,Bus/Truck
4,1,4,305,458,Upto 3 Axle
5,1,5,320,480,4 to 6 Axle
6,1,6,350,525,HCM/EME
7,1,7,400,600,7 or more Axle
8,2,1,51,77,Car/Jeep/Van
9,2,2,96,144,LCV
10,2,3,191,287,Bus/Truck
11,2,4,306,459,Upto 3 Axle
12,2,5,321,482,4 to 6 Axle
13,2,6,351,527,HCM/EME
14,2,7,401,602,7 or more Axle
15,3,1,52,78,Car/Jeep/Van
16,3,2,97,146,LCV
17,3,3,192,288,Bus/Truck
18,3,4,307,461,Upto 3 Axle
19,3,5,322,483,4 to 6 Axle
20,3,6,352,528,HCM/EME
21,3,7,402,603,7 or more Axle
22,4,1,53,80,Car/Jeep/Van
23,4,2,98,147,LCV
24,4,3,193,290,Bus/Truck
25,4,4,308,462,Upto 3 Axle
26,4,5,323,485,4 to 6 Axle
27,4,6,353,530,HCM/EME
28,4,7,403,605,7 or more Axle
29,5,1,54,81,Car/Jeep/Van
30,5,2,99,149,LCV
31,5,3,194,291,Bus/Truck
32,5,4,309,464,Upto 3 Axle
33,5,5,324,486,4 to 6 Axle
34,5,6,354,531,HCM/EME
35,5,7,404,606,7 or more Axle
36,6,1,55,83,Car/Jeep/Van
37,6,2,100,150,LCV
38,6,3,195,293,Bus/Truck
39,6,4,310,465,Upto 3 Axle
40,6,5,325,488,4 to 6 Axle
41,6,6,355,533,HCM/EME
42,6,7,405,608,7 or more Axle
43,7,1,56,84,Car/Jeep/Van
44,7,2,101,152,LCV
45,7,3,196,294,Bus/Truck
46,7,4,311,467,Upto 3 Axle
47,7,5,326,489,4 to 6 Axle
48,7,6,356,534,HCM/EME
49,7,7,406,609,7 or more Axle
50,8,1,57,86,Car/Jeep/Van
51,8,2,102,153,LCV
52,8,3,197,296,Bus/Truck
53,8,4,312,468,Upto 3 Axle
54,8,5,327,491,4 to 6 Axle
55,8,6,357,536,HCM/EME
56,8,7,407,611,7 or more Axle
57,9,1,58,87,Car/Jeep/Van
58,9,2,103,155,LCV
59,9,3,198,297,Bus/Truck
60,9,4,313,470,Upto 3 Axle
61,9,5,328,492,4 to 6 Axle
62,9,6,358,537,HCM/EME
63,9,7,408,612,7 or more Axle
64,10,1,59,89,Car/Jeep/Van
65,10,2,104,156,LCV
66,10,3,199,299,Bus/Truck
67,10,4,314,471,Upto 3 Axle
68,10,5,329,494,4 to 6 Axle
69,10,6,359,539,HCM/EME
70,10,7,409,614,7 or more Axle
71,11,1,60,90,Car/Jeep/Van
72,11,2,105,158,LCV
73,11,3,200,300,Bus/Truck
74,11,4,315,473,Upto 3 Axle
75,11,5,330,495,4 to 6 Axle
76,11,6,360,540,HCM/EME
77,11,7,410,615,7 or more Axle
78,12,1,61,92,Car/Jeep/Van
79,12,2,106,159,LCV
80,12,3,201,302,Bus/Truck
81,12,4,316,474,Upto 3 Axle
82,12,5,331,497,4 to 6 Axle
83,12,6,361,542,HCM/EME
84,12,7,411,617,7 or more Axle
85,13,1,62,93,Car/Jeep/Van
86,13,2,107,161,LCV
87,13,3,202,303,Bus/Truck
88,13,4,317,476,Upto 3 Axle
89,13,5,332,498,4 to 6 Axle
90,13,6,362,543,HCM/EME
91,13,7,412,618,7 or more Axle
92,14,1,63,95,Car/Jeep/Van
93,14,2,108,162,LCV
94,14,3,203,305,Bus/Truck
95,14,4,318,477,Upto 3 Axle
96,14,5,333,500,4 to 6 Axle
97,14,6,363,545,HCM/EME
98,14,7,413,620,7 or more Axle
99,15,1,64,96,Car/Jeep/Van
100,15,2,109,164,LCV
101,15,3,204,306,Bus/Truck
102,15,4,319,479,Upto 3 Axle
103,15,5,334,501,4 to 6 Axle
104,15,6,364,546,HCM/EME
105,15,7,414,621,7 or more Axle
106,16,1,65,98,Car/Jeep/Van
107,16,2,110,165,LCV
108,16,3,205,308,Bus/Truck
109,16,4,320,480,Upto 3 Axle
110,16,5,335,503,4 to 6 Axle
111,16,6,365,548,HCM/EME
112,16,7,415,623,7 or more Axle
113,17,1,66,99,Car/Jeep/Van
114,17,2,111,167,LCV
115,17,3,206,309,Bus/Truck
116,17,4,321,482,Upto 3 Axle
117,17,5,336,504,4 to 6 Axle
118,17,6,366,549,HCM/EME
119,17,7,416,624,7 or more Axle
120,18,1,67,101,Car/Jeep/Van
121,18,2,112,168,LCV
122,18,3,207,311,Bus/Truck
123,18,4,322,483,Upto 3 Axle
124,18,5,337,506,4 to 6 Axle
125,18,6,367,551,HCM/EME
126,18,7,417,626,7 or more Axle
127,19,1,68,102,Car/Jeep/Van
128,19,2,113,170,LCV
129,19,3,208,312,Bus/Truck
130,19,4,323,485,Upto 3 Axle
131,19,5,338,507,4 to 6 Axle
132,19,6,368,552,HCM/EME
133,19,7,418,627,7 or more Axle
134,20,1,69,104,Car/Jeep/Van
135,20,2,114,171,LCV
136,20,3,209,314,Bus/Truck
137,20,4,324,486,Upto 3 Axle
138,20,5,339,509,4 to 6 Axle
139,20,6,369,554,HCM/EME
140,20,7,419,629,7 or more Axle
141,21,1,70,105,Car/Jeep/Van
142,21,2,115,173,LCV
143,21,3,210,315,Bus/Truck
144,21,4,325,488,Upto 3 Axle
145,21,5,340,510,4 to 6 Axle
146,21,6,370,555,HCM/EME
147,21,7,420,630,7 or more Axle
148,22,1,71,107,Car/Jeep/Van
149,22,2,116,174,LCV
150,22,3,211,317,Bus/Truck
151,22,4,326,489,Upto 3 Axle
152,22,5,341,512,4 to 6 Axle
153,22,6,371,557,HCM/EME
154,22,7,421,632,7 or more Axle
155,23,1,72,108,Car/Jeep/Van
156,23,2,117,176,LCV
157,23,3,212,318,Bus/Truck
158,23,4,327,491,Upto 3 Axle
159,23,5,342,513,4 to 6 Axle
160,23,6,372,558,HCM/EME
161,23,7,422,633,7 or more Axle
162,24,1,73,110,Car/Jeep/Van
163,24,2,118,177,LCV
164,24,3,213,320,Bus/Truck
165,24,4,328,492,Upto 3 Axle
166,24,5,343,515,4 to 6 Axle
167,24,6,373,560,HCM/EME
168,24,7,423,635,7 or more Axle
169,25,1,74,111,Car/Jeep/Van
170,25,2,119,179,LCV
171,25,3,214,321,Bus/Truck
172,25,4,329,494,Upto 3 Axle
173,25,5,344,516,4 to 6 Axle
174,25,6,374,561,HCM/EME
175,25,7,424,636,7 or more Axle
176,26,1,50,75,Car/Jeep/Van
177,26,2,95,143,LCV
178,26,3,190,285,Bus/Truck
179,26,4,305,458,Upto 3 Axle
180,26,5,320,480,4 to 6 Axle
181,26,6,350,525,HCM/EME
182,26,7,400,600,7 or more Axle
183,27,1,51,77,Car/Jeep/Van
184,27,2,96,144,LCV
185,27,3,191,287,Bus/Truck
186,27,4,306,459,Upto 3 Axle
187,27,5,321,482,4 to 6 Axle
188,27,6,351,527,HCM/EME
189,27,7,401,602,7 or more Axle
190,28,1,52,78,Car/Jeep/Van
191,28,2,97,146,LCV
192,28,3,192,288,Bus/Truck
193,28,4,307,461,Upto 3 Axle
194,28,5,322,483,4 to 6 Axle
195,28,6,352,528,HCM/EME
196,28,7,402,603,7 or more Axle
