SrNo,TollID,CategoryID,Single,Round
1,1,1,50,75
2,1,2,95,143
3,1,3,190,285
4,1,4,305,458
5,1,5,320,480
6,1,6,350,525
7,1,7,400,600
8,2,1,51,77
9,2,2,96,144
10,2,3,191,287
11,2,4,306,459
12,2,5,321,482
13,2,6,351,527
14,2,7,401,602
15,3,1,52,78
16,3,2,97,146
17,3,3,192,288
18,3,4,307,461
19,3,5,322,483
20,3,6,352,528
21,3,7,402,603
22,4,1,53,80
23,4,2,98,147
24,4,3,193,290
25,4,4,308,462
26,4,5,323,485
27,4,6,353,530
28,4,7,403,605
29,5,1,54,81
30,5,2,99,149
31,5,3,194,291
32,5,4,309,464
33,5,5,324,486
34,5,6,354,531
35,5,7,404,606
36,6,1,55,83
37,6,2,100,150
38,6,3,195,293
39,6,4,310,465
40,6,5,325,488
41,6,6,355,533
42,6,7,405,608
43,7,1,56,84
44,7,2,101,152
45,7,3,196,294
46,7,4,311,467
47,7,5,326,489
48,7,6,356,534
49,7,7,406,609
50,8,1,57,86
51,8,2,102,153
52,8,3,197,296
53,8,4,312,468
54,8,5,327,491
55,8,6,357,536
56,8,7,407,611
57,9,1,58,87
58,9,2,103,155
59,9,3,198,297
60,9,4,313,470
61,9,5,328,492
62,9,6,358,537
63,9,7,408,612
64,10,1,59,89
65,10,2,104,156
66,10,3,199,299
67,10,4,314,471
68,10,5,329,494
69,10,6,359,539
70,10,7,409,614
71,11,1,60,90
72,11,2,105,158
73,11,3,200,300
74,11,4,315,473
75,11,5,330,495
76,11,6,360,540
77,11,7,410,615
78,12,1,61,92
79,12,2,106,159
80,12,3,201,302
81,12,4,316,474
82,12,5,331,497
83,12,6,361,542
84,12,7,411,617
85,13,1,62,93
86,13,2,107,161
87,13,3,202,303
88,13,4,317,476
89,13,5,332,498
90,13,6,362,543
91,13,7,412,618
92,14,1,63,95
93,14,2,108,162
94,14,3,203,305
95,14,4,318,477
96,14,5,333,500
97,14,6,363,545
98,14,7,413,620
99,15,1,64,96
100,15,2,109,164
101,15,3,204,306
102,15,4,319,479
103,15,5,334,501
104,15,6,364,546
105,15,7,414,621
106,16,1,65,98
107,16,2,110,165
108,16,3,205,308
109,16,4,320,480
110,16,5,335,503
111,16,6,365,548
112,16,7,415,623
113,17,1,66,99
114,17,2,111,167
115,17,3,206,309
116,17,4,321,482
117,17,5,336,504
118,17,6,366,549
119,17,7,416,624
120,18,1,67,101
121,18,2,112,168
122,18,3,207,311
123,18,4,322,483
124,18,5,337,506
125,18,6,367,551
126,18,7,417,626
127,19,1,68,102
